year,n_rows,distinct_question_count,era_a_question_present,era_b_federal_present,era_b_nonfederal_present,encoding_fallback_triggered,encoding_fallback_count
1972,9228,2,false,false,false,false,0
1973,20196,3,true,false,false,false,0
1974,18839,3,true,false,false,false,0
1975,17508,3,true,false,false,false,0
1976,18072,3,true,false,false,false,0
1977,17514,3,true,false,false,false,0
1978,7602,2,true,false,false,false,0
1979,22307,3,true,false,false,false,0
1980,29140,3,true,false,false,false,0
1981,49474,4,true,false,false,false,0
1982,48363,4,true,false,false,false,0
1983,48717,4,true,false,false,false,0
1984,56658,4,true,false,false,false,0
1985,58586,4,true,false,false,false,0
1986,60658,4,true,false,false,false,0
1987,52106,4,true,false,false,false,0
1988,36852,4,true,false,false,false,0
1989,48881,4,true,false,false,false,0
1990,44755,3,true,false,false,false,0
1991,45572,3,true,false,false,false,0
1992,44840,3,true,false,false,false,0
1993,38579,3,true,false,false,false,0
1994,50377,3,true,false,false,false,0
1995,55264,3,true,false,false,false,0
1996,53171,3,true,false,false,false,0
1997,52939,4,true,false,false,false,0
1998,49255,4,true,false,false,false,0
1999,46797,4,true,false,false,false,0
2000,49411,5,true,false,false,false,0
2001,50475,5,true,false,false,false,0
2002,48138,5,true,false,false,false,0
2003,76612,7,true,false,false,false,0
2004,77549,7,true,false,false,false,0
2005,76753,7,true,false,false,false,0
2006,75202,7,true,false,false,false,0
2007,74637,7,true,false,false,false,0
2008,76136,7,true,false,false,false,0
2009,77651,7,true,false,false,false,0
2010,231499,19,false,true,true,true,1
2011,264087,18,false,true,true,false,0
2012,231425,19,false,true,true,false,0
2013,226394,19,false,true,true,false,0
2014,226063,19,false,true,true,true,149
2015,227533,18,false,true,true,true,158
2016,230494,17,false,true,true,true,159
2017,238032,17,false,true,true,true,308
2018,237620,17,false,true,true,false,0
2019,240447,17,false,true,true,false,0
2020,242031,16,false,true,true,false,0
2021,241265,16,false,true,true,false,0
2022,248578,18,false,true,true,false,0
2023,258843,18,false,true,true,false,0
2024,264321,17,false,true,true,false,0
